item,filename,article_title,in_folder,notes
16,,A SYSTEMATIC LITERATURE REVIEW ON E-COMMERCE LOGISTICS: TOWARDS AN E-COMMERCE AND OMNI-CHANNEL DECISION FRAMEWORK,NO,Cancelled by ILL Staff
17,,ANALYSING THE IMPACT OF OMNI-CHANNEL CUSTOMER DELIGHT ON REPURCHASE INTENTION,NO,Dr. Gibson's folder
18,,AN INTEGRATED RANDOMIZED PRICING STRATEGY FOR OMNI-CHANNEL RETAILING,NO,Dr. Gibson's folder
19,,INVESTIGATING LOGISTICS SERVICE QUALITY IN OMNI-CHANNEL RETAILING,NO,Dr. Gibson's folder
20,,EXECUTION OF OMNI-CHANNEL RETAILING BASED ON A PRACTICAL ORDER FULFILLMENT POLICY,NO,Dr. Gibson's folder
21,21 - UNRAVELLING CONSUMER RESPONSES TO OMNI-CHANNEL APPROACH.pdf,UNRAVELLING CONSUMER RESPONSES TO OMNI-CHANNEL APPROACH,YES,On Google Drive Folder
22,22 - OMNI-CHANNEL RETAILING SOME REFLECTIONS .pdf,OMNI-CHANNEL RETAILING: SOME REFLECTIONS,YES,On Google Drive Folder
23,23 - OMNI-CHANNEL STRATEGIES FOR FRESH PRODUCE WITH EXTRA LOSSES IN-STORE.pdf,OMNI-CHANNEL STRATEGIES FOR FRESH PRODUCE WITH EXTRA LOSSES IN-STORE,YES,On Google Drive Folder
24,24 - MULTIPLE CHANNEL STRATEGY SELECTION A ROADMAP PERSPECTIVE FOR BRICK-AND-CLICK RETAILERS.pdf,MULTIPLE CHANNEL STRATEGY SELECTION: A ROADMAP PERSPECTIVE FOR BRICK-AND-CLICK RETAILERS,YES,On Google Drive Folder
25,25 - SERVICE QUALITY MEASUREMENT FOR OMNI-CHANNEL RETAIL SCALE DEVELOPMENT AND VALIDATION.pdf,SERVICE QUALITY MEASUREMENT FOR OMNI-CHANNEL RETAIL: SCALE DEVELOPMENT AND VALIDATION,YES,On Google Drive Folder
26,"26 - THE DRIVERS OF OMNI-CHANNEL SHOPPING INTENTION A CASE STUDY FOR FASHION RETAILING SECTOR IN DANANG, VIETNAM.pdf","THE DRIVERS OF OMNI-CHANNEL SHOPPING INTENTION: A CASE STUDY FOR FASHION RETAILING SECTOR IN DANANG, VIETNAM",YES,On Google Drive Folder
27,,THE IMPACT OF CHANNEL INTEGRATION ON CONSUMER RESPONSES IN OMNICHANNEL RETAILING: THE MEDIATING EFFECT OF CONSUMER EMPOWERMENT,NO,On Google Drive Folder
28,28 - MEASURING RETAIL PERFORMANCE IN AN OMNI-CHANNEL WORLD.pdf,MEASURING RETAIL PERFORMANCE IN AN OMNI-CHANNEL WORLD,YES,On Google Drive Folder
29,"29 - SOCIAL, LOCAL AND MOBILE COMMERCE PRACTICES IN OMNI-CHANNEL RETAILING INSIGHTS FROM GERMANY AND TURKEY.pdf","SOCIAL, LOCAL AND MOBILE COMMERCE PRACTICES IN OMNI-CHANNEL RETAILING INSIGHTS FROM GERMANY AND TURKEY",YES,On Google Drive Folder
30,30 - AN EXAMINATION OF THE EFFECTS OF OMNI-CHANNEL SERVICE OFFERINGS ON RETAILER PERFORMANCE.pdf,AN EXAMINATION OF THE EFFECTS OF OMNI-CHANNEL SERVICE OFFERINGS ON RETAILER PERFORMANCE,YES,On Google Drive Folder
31,,OMNI CHANNEL: IS IT REALLY OMNI?,NO,On Google Drive Folder
32,32 - FROM AMBITION TO ACTION HOW TO ACHIEVE INTEGRATION IN OMNI-CHANNEL.pdf,FROM AMBITION TO ACTION: HOW TO ACHIEVE INTEGRATION IN OMNI-CHANNEL?,YES,On Google Drive Folder
33,33 - DO CUSTOMERS ALWAYS ADOPT BUY-ONLINE-AND-PICK-UP-IN-STORE SERVICE CONSIDERATION OF LOCATION-BASED STORE DENSITY IN OMNI-CHANNEL RETAILING.pdf,DO CUSTOMERS ALWAYS ADOPT BUY-ONLINE-AND-PICK-UP-IN-STORE SERVICE? CONSIDERATION OF LOCATION-BASED STORE DENSITY IN OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
34,34 - TOWARD THE INTER-CHANNEL SYNERGY RENAISSANCE IN EMERGING MARKETS EVIDENCE FROM ADDING CLICKS TO BRICKS IN SERBIA.pdf,TOWARD THE INTER-CHANNEL SYNERGY RENAISSANCE IN EMERGING MARKETS: EVIDENCE FROM ADDING CLICKS TO BRICKS IN SERBIA,YES,On Google Drive Folder
35,35 - TRANSITIONS TOWARDS OMNI-CHANNEL RETAILING STRATEGIES A BUSINESS MODEL PERSPECTIVE.pdf,TRANSITIONS TOWARDS OMNI-CHANNEL RETAILING STRATEGIES: A BUSINESS MODEL PERSPECTIVE,YES,On Google Drive Folder
36,36 - OMNI-CHANNEL CAPABILITY AND CUSTOMER SATISFACTION MEDIATING ROLES OF FLEXIBILITY AND OPERATIONAL LOGISTICS SERVICE QUALITY.pdf,OMNI-CHANNEL CAPABILITY AND CUSTOMER SATISFACTION: MEDIATING ROLES OF FLEXIBILITY AND OPERATIONAL LOGISTICS SERVICE QUALITY,YES,On Google Drive Folder
37,37 - DRIVERS AND BARRIERS OF OMNI-CHANNEL RETAILING IN CHINA A CASE STUDY OF THE FASHION AND APPAREL INDUSTRY.pdf,DRIVERS AND BARRIERS OF OMNI-CHANNEL RETAILING IN CHINA A CASE STUDY OF THE FASHION AND APPAREL INDUSTRY,YES,On Google Drive Folder
38,"38 - CATEGORIZATION OF MULTIPLE CHANNEL RETAILING IN MULTI-, CROSS-, AND OMNI-CHANNEL RETAILING FOR RETAILERS AND RETAILING.pdf","CATEGORIZATION OF MULTIPLE CHANNEL RETAILING IN MULTI-, CROSS-, AND OMNI-CHANNEL RETAILING FOR RETAILERS AND RETAILING",YES,On Google Drive Folder
39,39 - WAREHOUSE CONFIGURATION IN OMNI-CHANNEL RETAILING A MULTIPLE CASE STUDY.pdf,WAREHOUSE CONFIGURATION IN OMNI-CHANNEL RETAILING: A MULTIPLE CASE STUDY,YES,On Google Drive Folder
40,40 - OMNI-CHANNEL RETAILING RESEARCH - STATE OF THE ART AND INTELLECTUAL FOUNDATION.pdf,OMNI-CHANNEL RETAILING RESEARCH - STATE OF THE ART AND INTELLECTUAL FOUNDATION,YES,On Google Drive Folder
41,41 - CHANNEL DESIGN TO ENRICH CUSTOMERS_ SHOPPING EXPERIENCES.pdf,CHANNEL DESIGN TO ENRICH CUSTOMERS' SHOPPING EXPERIENCES SYNCHRONIZING CLICKS WITH BRICKS IN AN OMNI-CHANNEL PERSPECTIVE - THE DIRECT OPTIC CASE,YES,On Google Drive Folder
42,"42 - OMNICHANNEL MARKETING STRUCTURED REVIEW, SYNTHESIS, AND FUTURE DIRECTIONS.pdf","OMNICHANNEL MARKETING: STRUCTURED REVIEW, SYNTHESIS, AND FUTURE DIRECTIONS",YES,On Google Drive Folder
43,"43 - DEVELOPING TRENDS IN SHOWROOMING, WEBROOMING, AND OMNICHANNEL SHOPPING BEHAVIORS.pdf","DEVELOPING TRENDS IN SHOWROOMING, WEBROOMING, AND OMNICHANNEL SHOPPING BEHAVIORS: PERFORMANCE ANALYSIS, CONCEPTUAL MAPPING, AND FUTURE DIRECTIONS",YES,On Google Drive Folder
44,44 - AN INVESTIGATION OF CONSUMERS_ PURCHASE INTENTIONS TOWARDS OMNI-CHANNEL SHOPPING.pdf,AN INVESTIGATION OF CONSUMERS' PURCHASE INTENTIONS TOWARDS OMNI-CHANNEL SHOPPING: A QUALITATIVE EXPLORATORY STUDY,YES,On Google Drive Folder
45,45 - OMNI-CHANNEL MARKETING STRATEGY IN THE DIGITAL PLATFORM ERA.pdf,OMNI-CHANNEL MARKETING STRATEGY IN THE DIGITAL PLATFORM ERA,YES,On Google Drive Folder
46,46 - PERCEIVED CONSUMER VALUE OF OMNI-CHANNEL SERVICE ATTRIBUTES IN JAPAN AND KOREA.pdf,PERCEIVED CONSUMER VALUE OF OMNI-CHANNEL SERVICE ATTRIBUTES IN JAPAN AND KOREA,YES,On Google Drive Folder
47,,PHYSICAL OR VIRTUAL SHOWROOM? THE DECISION FOR OMNI-CHANNEL RETAILERS IN THE CONTEXT OF CROSS-CHANNEL FREE-RIDING,NO,On Google Drive Folder
48,48 - HOW TO RETAIN CUSTOMERS IN OMNICHANNEL RETAILING CONSIDERING THE ROLES OF BRAND EXPERIENCE AND PURCHASE BEHAVIOR.pdf,HOW TO RETAIN CUSTOMERS IN OMNICHANNEL RETAILING: CONSIDERING THE ROLES OF BRAND EXPERIENCE AND PURCHASE BEHAVIOR,YES,On Google Drive Folder
49,49 - FROM MULTI-CHANNEL RETAILING TO OMNI-CHANNEL RETAILING.pdf,FROM MULTI-CHANNEL RETAILING TO OMNI-CHANNEL RETAILING INTRODUCTION TO THE SPECIAL ISSUE ON MULTI-CHANNEL RETAILING,YES,On Google Drive Folder
50,50 - REALIGNMENT OF THE PHYSICAL DISTRIBUTION PROCESS IN OMNI-CHANNEL FULFILLMENT.pdf,REALIGNMENT OF THE PHYSICAL DISTRIBUTION PROCESS IN OMNI-CHANNEL FULFILLMENT,YES,On Google Drive Folder
51,51 - INVESTIGATION AND ANALYSIS OF OMNICHANNEL LOGISTICS MODELS.pdf,INVESTIGATION AND ANALYSIS OF OMNICHANNEL LOGISTICS MODELS: A STUDY IN THE ELECTRONIC RETAIL INDUSTRY IN INDONESIA,YES,On Google Drive Folder
52,52 - INTEGRATED STORE SERVICE QUALITY MEASUREMENT SCALE IN OMNI-CHANNEL RETAILING.pdf,INTEGRATED STORE SERVICE QUALITY MEASUREMENT SCALE IN OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
53,53 - UNDERSTANDING THE ANTECEDENTS OF OMNI-CHANNEL SHOPPING BY CUSTOMERS WITH REFERENCE TO FASHION CATEGORY.pdf,UNDERSTANDING THE ANTECEDENTS OF OMNI-CHANNEL SHOPPING BY CUSTOMERS WITH REFERENCE TO FASHION CATEGORY: THE INDIAN MILLENNIALS' PERSPECTIVE,YES,On Google Drive Folder
54,54 - OMNI-CHANNEL SERVICE FAILURES AND RECOVERIES - REFINED TYPOLOGIES USING FACEBOOK COMPLAINTS.pdf,OMNI-CHANNEL SERVICE FAILURES AND RECOVERIES: REFINED TYPOLOGIES USING FACEBOOK COMPLAINTS,YES,On Google Drive Folder
55,55 - OMNI-CHANNEL RETAILING WITH CONSUMER PREFERENCE AND CARBON EMISSION EFFORTS.pdf,OMNI-CHANNEL RETAILING WITH CONSUMER PREFERENCE AND CARBON EMISSION EFFORTS,YES,On Google Drive Folder
56,56 - DETERMINING SAFETY STOCK FOR AN OMNI-CHANNEL ENVIRONMENT.pdf,DETERMINING SAFETY STOCK FOR AN OMNI-CHANNEL ENVIRONMENT,YES,On Google Drive Folder
57,57 - THE OMNI-CHANNEL APPROACH - A UTOPIA FOR COMPANIES.pdf,THE OMNI-CHANNEL APPROACH: A UTOPIA FOR COMPANIES?,YES,On Google Drive Folder
58,58 - OMNICHANNEL BUSINESS.pdf,OMNICHANNEL BUSINESS,YES,On Google Drive Folder
59,59 - DOES RETAIL TYPE MATTER CONSUMER RESPONSES TO CHANNEL INTEGRATION IN OMNI-CHANNEL RETAILING.pdf,DOES RETAIL TYPE MATTER? CONSUMER RESPONSES TO CHANNEL INTEGRATION IN OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
60,60 - A DECISION-MAKING FRAMEWORK FOR INVENTORY POSITIONING IN AN OMNICHANNEL BUSINESS ENVIRONMENT.pdf,A DECISION-MAKING FRAMEWORK FOR INVENTORY POSITIONING IN AN OMNICHANNEL BUSINESS ENVIRONMENT,YES,On Google Drive Folder
61,61 - A QUANTITATIVE PERFORMANCE MANAGEMENT FRAMEWORK FOR ASSESSING OMNICHANNEL RETAIL SUPPLY CHAINS.pdf,A QUANTITATIVE PERFORMANCE MANAGEMENT FRAMEWORK FOR ASSESSING OMNICHANNEL RETAIL SUPPLY CHAINS,YES,On Google Drive Folder
62,62 - ADAPTING WAREHOUSE OPERATIONS AND DESIGN TO OMNI-CHANNEL LOGISTICS.pdf,ADAPTING WAREHOUSE OPERATIONS AND DESIGN TO OMNI-CHANNEL LOGISTICS: A LITERATURE REVIEW AND RESEARCH AGENDA,YES,On Google Drive Folder
63,63 - ROLE OF BIGDATA ANALYTICS IN IMPROVING DRIVERS OF OMNI-CHANNEL RETAILING FOR IMPROVING LOGISTICS EXPERIENCE.pdf,ROLE OF BIGDATA ANALYTICS IN IMPROVING DRIVERS OF OMNI-CHANNEL RETAILING FOR IMPROVING LOGISTICS EXPERIENCE,YES,On Google Drive Folder
64,64 - MANAGING MULTI- AND OMNI-CHANNEL DISTRIBUTION - METRICS AND RESEARCH DIRECTIONS.pdf,MANAGING MULTI- AND OMNI-CHANNEL DISTRIBUTION: METRICS AND RESEARCH DIRECTIONS,YES,On Google Drive Folder
65,"65 - THE VALUE PROPOSITIONS OF MULTI-, CROSS-, AND OMNI-CHANNEL RETAILING.pdf","THE VALUE PROPOSITIONS OF MULTI-, CROSS-, AND OMNI-CHANNEL RETAILING",YES,On Google Drive Folder
66,66 - FASHION CONSUMERS_ CHANNEL-HOPPING PROFILES BY PSYCHOGRAPHICS AND DEMOGRAPHICS.pdf,FASHION CONSUMERS' CHANNEL-HOPPING PROFILES BY PSYCHOGRAPHICS AND DEMOGRAPHICS,YES,On Google Drive Folder
67,67 - OMNI-CHANNEL RESEARCH FRAMEWORK IN THE CONTEXT OF PERSONAL SELLING AND SALES MANAGEMENT.pdf,OMNI-CHANNEL RESEARCH FRAMEWORK IN THE CONTEXT OF PERSONAL SELLING AND SALES MANAGEMENT A REVIEW AND RESEARCH EXTENSIONS,YES,On Google Drive Folder
68,68 - SHOPPERS_ LOGISTICS ACTIVITIES IN OMNI-CHANNEL RETAILING A CONCEPTUALISATION AND AN EXPLORATION ON PERCEPTUAL DIFFERENCES IN EFFORT.pdf,SHOPPERS' LOGISTICS ACTIVITIES IN OMNI-CHANNEL RETAILING: A CONCEPTUALISATION AND AN EXPLORATION ON PERCEPTUAL DIFFERENCES IN EFFORT VALUATION,YES,On Google Drive Folder
69,69 - OPERATION STRATEGIES FOR AN OMNI-CHANNEL SUPPLY CHAIN.pdf,OPERATION STRATEGIES FOR AN OMNI-CHANNEL SUPPLY CHAIN: WHO IS BETTER OFF TAKING ON THE ONLINE CHANNEL AND OFFLINE SERVICE?,YES,On Google Drive Folder
70,"70 - PROVIDING A SYSTEM DYNAMICS MODEL TO EVALUATE TIME, COST, AND CUSTOMER SATISFACTION IN OMNI-CHANNEL DISTRIBUTION.pdf","PROVIDING A SYSTEM DYNAMICS MODEL TO EVALUATE TIME, COST, AND CUSTOMER SATISFACTION IN OMNI-CHANNEL DISTRIBUTION: A CASE STUDY",YES,On Google Drive Folder
71,,THE LONG ROAD TO OMNI-CHANNEL RETAILING: AN ASSESSMENT OF CHANNEL INTEGRATION LEVELS ACROSS FASHION AND APPAREL RETAILERS,NO,Cancelled by ILL Staff
72,72 - FOSTERING SUPPLY CHAIN INTEGRATION IN OMNI-CHANNEL RETAILING THROUGH HUMAN RESOURCE FACTORS EMPIRICAL STUDY IN CHINA_S MARKET.pdf,FOSTERING SUPPLY CHAIN INTEGRATION IN OMNI-CHANNEL RETAILING THROUGH HUMAN RESOURCE FACTORS: EMPIRICAL STUDY IN CHINA'S MARKET,YES,On Google Drive Folder
73,73 - OPTIMAL JOINT ASSORTMENT FOR AN OMNI-CHANNEL RETAILER.pdf,OPTIMAL JOINT ASSORTMENT FOR AN OMNI-CHANNEL RETAILER,YES,On Google Drive Folder
74,74 - THE HARMONIOUS ROLE OF CHANNEL INTEGRATION AND LOGISTICS SERVICE IN OMNICHANNEL RETAILING.pdf,THE HARMONIOUS ROLE OF CHANNEL INTEGRATION AND LOGISTICS SERVICE IN OMNICHANNEL RETAILING: THE CASE OF IKEA,YES,On Google Drive Folder
75,75 - OPTIMAL IN-STORE FULFILLMENT POLICIES FOR ONLINE ORDERS IN AN OMNI-CHANNEL RETAIL ENVIRONMENT.pdf,OPTIMAL IN-STORE FULFILLMENT POLICIES FOR ONLINE ORDERS IN AN OMNI-CHANNEL RETAIL ENVIRONMENT,YES,On Google Drive Folder
76,76 - OPTIMAL SERVICE DECISIONS IN AN OMNI-CHANNEL WITH BUY-ONLINE-AND-PICK-UP-IN-STORE.pdf,OPTIMAL SERVICE DECISIONS IN AN OMNI-CHANNEL WITH BUY-ONLINE-AND-PICK-UP-IN-STORE,YES,On Google Drive Folder
77,77 - ONLINE RETAIL RETURNS MANAGEMENT INTEGRATION WITHIN AN OMNI-CHANNEL DISTRIBUTION CONTEXT.pdf,ONLINE RETAIL RETURNS MANAGEMENT INTEGRATION WITHIN AN OMNI-CHANNEL DISTRIBUTION CONTEXT,YES,On Google Drive Folder
78,78 - DOES CROSS-CHANNEL CONSISTENCY ALWAYS CREATE BRAND LOYALTY IN OMNI-CHANNEL RETAILING.pdf,DOES CROSS-CHANNEL CONSISTENCY ALWAYS CREATE BRAND LOYALTY IN OMNI-CHANNEL RETAILING?,YES,On Google Drive Folder
79,79 - CAN_T TOUCH THIS CONCEPTUALIZING THE CUSTOMER TOUCHPOINT IN THE CONTEXT OF OMNI-CHANNEL RETAILING.pdf,CAN'T TOUCH THIS? CONCEPTUALIZING THE CUSTOMER TOUCHPOINT IN THE CONTEXT OF OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
80,80 - OMNI-CHANNEL RETAILING RESOURCES AND CAPABILITIES OF SME SPECIALTY RETAILERS - INSIGHTS FROM GERMANY AND TURKEY.pdf,OMNI-CHANNEL RETAILING RESOURCES AND CAPABILITIES OF SME SPECIALTY RETAILERS - INSIGHTS FROM GERMANY AND TURKEY,YES,On Google Drive Folder
81,81 - CONSUMER INTER-PRODUCT SHOWROOMING AND INFORMATION SERVICE PROVISION IN AN OMNI-CHANNEL SUPPLY CHAIN.pdf,CONSUMER INTER-PRODUCT SHOWROOMING AND INFORMATION SERVICE PROVISION IN AN OMNI-CHANNEL SUPPLY CHAIN,YES,On Google Drive Folder
82,82 - FULFILLMENT AND PRICING OPTIMIZATION FOR OMNI-CHANNEL RETAILERS CONSIDERING SHIPMENT OF IN-STORE DEMAND.pdf,FULFILLMENT AND PRICING OPTIMIZATION FOR OMNI-CHANNEL RETAILERS CONSIDERING SHIPMENT OF IN-STORE DEMAND,YES,On Google Drive Folder
83,83 - OMNICHANNEL BANKING ECONOMY.pdf,OMNICHANNEL BANKING ECONOMY,YES,On Google Drive Folder
84,84 - OMNI-CHANNEL RETAILING AND DIGITAL BUSINESS - A CASE STUDY IN MALAYSIA.pdf,OMNI-CHANNEL RETAILING AND DIGITAL BUSINESS: A CASE STUDY IN MALAYSIA,YES,On Google Drive Folder
85,85 - CONTEXTUAL ADAPTATION OF OMNI-CHANNEL GROCERY RETAILERS ONLINE FULFILMENT CENTRES.pdf,CONTEXTUAL ADAPTATION OF OMNI-CHANNEL GROCERY RETAILERS' ONLINE FULFILMENT CENTRES,YES,On Google Drive Folder
86,86 - ASSORTMENT OPTIMIZATION IN OMNI-CHANNEL RETAILING.pdf,ASSORTMENT OPTIMIZATION IN OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
87,87 - CUSTOMERS VALUATION OF TIME AND CONVENIENCE IN E-FULFILLMENT.pdf,CUSTOMERS' VALUATION OF TIME AND CONVENIENCE IN E-FULFILLMENT,YES,On Google Drive Folder
88,88 - INROAD INTO OMNI-CHANNEL RETAILING PHYSICAL SHOWROOM DEPLOYMENT OF AN ONLINE RETAILER.pdf,INROAD INTO OMNI-CHANNEL RETAILING: PHYSICAL SHOWROOM DEPLOYMENT OF AN ONLINE RETAILER,YES,On Google Drive Folder
89,89 - EFFECT OF CHANNEL INTEGRATION QUALITY ON CONSUMER RESPONSES WITHIN OMNI-CHANNEL RETAILING.pdf,EFFECT OF CHANNEL INTEGRATION QUALITY ON CONSUMER RESPONSES WITHIN OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
90,90 - ARE PRIVACY CONCERNS STILL RELEVANT REVISITING CONSUMER BEHAVIOUR IN OMNICHANNEL RETAILING.pdf,ARE PRIVACY CONCERNS STILL RELEVANT? REVISITING CONSUMER BEHAVIOUR IN OMNICHANNEL RETAILING,YES,On Google Drive Folder
91,91 - CUSTOMER ENGAGEMENT THROUGH OMNICHANNEL RETAILING THE EFFECTS OF CHANNEL INTEGRATION QUALITY.pdf,CUSTOMER ENGAGEMENT THROUGH OMNICHANNEL RETAILING: THE EFFECTS OF CHANNEL INTEGRATION QUALITY,YES,On Google Drive Folder
92,92 - SHOULD SMALL-SCALE ONLINE RETAILERS DIVERSIFY DISTRIBUTION CHANNELS INTO OFFLINE CHANNELS.pdf,SHOULD SMALL-SCALE ONLINE RETAILERS DIVERSIFY DISTRIBUTION CHANNELS INTO OFFLINE CHANNELS? FOCUSED ON THE CLOTHING AND FASHION INDUSTRY,YES,On Google Drive Folder
93,93 - UNDER THE SWAY OF A MOBILE DEVICE DURING AN IN-STORE SHOPPING EXPERIENCE.pdf,UNDER THE SWAY OF A MOBILE DEVICE DURING AN IN-STORE SHOPPING EXPERIENCE,YES,On Google Drive Folder
94,94 - THE MEDIATING EFFECT OF CONSUMER EMPOWERMENT IN OMNI-CHANNEL RETAILING.pdf,THE MEDIATING EFFECT OF CONSUMER EMPOWERMENT IN OMNI-CHANNEL RETAILING,YES,On Google Drive Folder
95,95 - OMNICHANNEL RETAILING STRATEGY A SYSTEMATIC REVIEW.pdf,OMNICHANNEL RETAILING STRATEGY: A SYSTEMATIC REVIEW,YES,On Google Drive Folder
96,96 - OPTIMIZING OMNI-CHANNEL FULFILLMENT WITH STORE TRANSFERS.pdf,OPTIMIZING OMNI-CHANNEL FULFILLMENT WITH STORE TRANSFERS,YES,On Google Drive Folder
97,97 - OMNI CHANNEL SHOPPING RETAILING AND SOCIAL PHASE OF CONSUMER BEHAVIOR.pdf,OMNI CHANNEL SHOPPING RETAILING AND SOCIAL PHASE OF CONSUMER BEHAVIOR,YES,On Google Drive Folder
98,98 - A CONFIGURATIONAL APPROACH TO LAST MILE LOGISTICS PRACTICES.pdf,A CONFIGURATIONAL APPROACH TO LAST MILE LOGISTICS PRACTICES AND OMNI-CHANNEL FIRM CHARACTERISTICS FOR COMPETITIVE ADVANTAGE: A FUZZY-SET QUALITATIVE COMPARATIVE ANALYSIS,YES,On Google Drive Folder
99,99 - A SHARING-ENABLED PORTFOLIO APPROACH TO DISTRIBUTION.pdf,A SHARING-ENABLED PORTFOLIO APPROACH TO DISTRIBUTION,YES,On Google Drive Folder
100,100 - CHALLENGES AT THE MARKETING-OPERATIONS INTERFACE IN OMNI-CHANNEL RETAIL ENVIRONMENTS.pdf,CHALLENGES AT THE MARKETING-OPERATIONS INTERFACE IN OMNI-CHANNEL RETAIL ENVIRONMENTS,YES,On Google Drive Folder
101,101 - SMART LUXURY SHOPPERS BEHAVIOUR IN CHINA.pdf,SMART LUXURY SHOPPERS' BEHAVIOUR IN CHINA: OMNI-CHANNEL PERSPECTIVES OF GEN Y CONSUMERS,YES,On Google Drive Folder
102,,A NOVEL ALGORITHM FOR EVALUATING THE CONFIGURATIONS OF OMNI-CHANNEL DISTRIBUTION NETWORK CONSIDERING TRANSPARENCY AND CONSENSUS FORMATION,NO,Cancelled by ILL Staff
103,103 - INVENTORY STRATEGY OF FRESH PRODUCTS FOR OMNI-CHANNEL SUPPLY CHAINS.pdf,INVENTORY STRATEGY OF FRESH PRODUCTS FOR OMNI-CHANNEL SUPPLY CHAINS,YES,On Google Drive Folder
104,104 - A BIBLIOMETRIC REVIEW OF THE OMNICHANNEL LOGISTICS LITERATURE.pdf,A BIBLIOMETRIC REVIEW OF THE OMNICHANNEL LOGISTICS LITERATURE,YES,On Google Drive Folder
105,105 - REPLENISHMENT AND FULFILMENT DECISIONS FOR STORES IN AN OMNI-CHANNEL RETAIL NETWORK.pdf,REPLENISHMENT AND FULFILMENT DECISIONS FOR STORES IN AN OMNI-CHANNEL RETAIL NETWORK,YES,On Google Drive Folder
106,106 - BLURRING THE LINES BETWEEN PHYSICAL AND DIGITAL SPACES.pdf,BLURRING THE LINES BETWEEN PHYSICAL AND DIGITAL SPACES: BUSINESS MODEL INNOVATION IN RETAILING,YES,On Google Drive Folder
107,"107 - EXPLORING TRENDS, IMPLICATIONS AND CHALLENGES FOR LOGISTICS INFORMATION SYSTEMS IN OMNI-CHANNELS.pdf","EXPLORING TRENDS, IMPLICATIONS AND CHALLENGES FOR LOGISTICS INFORMATION SYSTEMS IN OMNI-CHANNELS: SWEDISH RETAILERS' PERCEPTION",YES,On Google Drive Folder
